config,pattern,rate,latency,avg_power,modes,branch_dirs
RL_routing+Active,uniform,0.001,47.6231,226.98999999999143,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.496, 3: 0.504}"
RL_routing+Active,uniform,0.0048000000000000004,54.0259,226.99000000015312,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.004, 2: 0.496, 3: 0.5}"
RL_routing+Active,uniform,0.0086,66.3996,226.99000000018827,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.026, 2: 0.481, 3: 0.493}"
RL_routing+Active,uniform,0.012399999999999998,128.175,226.98999999954336,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.003, 1: 0.109, 2: 0.391, 3: 0.497}"
RL_routing+Active,uniform,0.0162,,,,"{0: 0.027, 1: 0.165, 2: 0.272, 3: 0.537}"
RL_routing+Active,uniform,0.02,,,,"{0: 0.048, 1: 0.171, 2: 0.227, 3: 0.554}"
RL_routing+Active,transpose,0.001,46.9832,226.98999999999145,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.514, 3: 0.486}"
RL_routing+Active,transpose,0.0022,49.8614,226.99000000011497,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.001, 2: 0.497, 3: 0.503}"
RL_routing+Active,transpose,0.0034000000000000002,52.8224,226.99000000013956,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.004, 2: 0.513, 3: 0.483}"
RL_routing+Active,transpose,0.0046,57.4292,226.9900000001618,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.009, 2: 0.483, 3: 0.508}"
RL_routing+Active,transpose,0.0058000000000000005,70.1818,226.99000000017787,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.034, 2: 0.484, 3: 0.482}"
RL_routing+Active,transpose,0.007,103.895,226.9900000001921,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.129, 2: 0.423, 3: 0.448}"
RL_routing+Active,bitcomp,0.001,58.5437,226.99000000006868,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.519, 3: 0.481}"
RL_routing+Active,bitcomp,0.0029999999999999996,65.9873,226.99000000016264,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.005, 2: 0.488, 3: 0.507}"
RL_routing+Active,bitcomp,0.004999999999999999,160.625,226.99000000004932,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.003, 1: 0.109, 2: 0.41, 3: 0.479}"
RL_routing+Active,bitcomp,0.006999999999999999,,,,"{0: 0.011, 1: 0.159, 2: 0.318, 3: 0.513}"
RL_routing+Active,bitcomp,0.008999999999999998,,,,"{0: 0.034, 1: 0.152, 2: 0.263, 3: 0.551}"
RL_routing+Active,bitcomp,0.011,,,,"{0: 0.038, 1: 0.139, 2: 0.241, 3: 0.581}"
RL_routing+Active,tornado,0.001,56.7358,226.990000000059,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.515, 3: 0.485}"
RL_routing+Active,tornado,0.0036000000000000003,63.2909,226.99000000016665,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.004, 2: 0.492, 3: 0.504}"
RL_routing+Active,tornado,0.006200000000000001,100.408,226.98999999997167,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.002, 1: 0.065, 2: 0.459, 3: 0.474}"
RL_routing+Active,tornado,0.008800000000000002,,,,"{0: 0.02, 1: 0.157, 2: 0.368, 3: 0.456}"
RL_routing+Active,tornado,0.0114,,,,"{0: 0.073, 1: 0.195, 2: 0.298, 3: 0.433}"
RL_routing+Active,tornado,0.014000000000000002,,,,"{0: 0.135, 1: 0.242, 2: 0.21, 3: 0.414}"
RL_routing+Active,hotspot(0),0.0002,59.2192,226.98999999999307,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}"
RL_routing+Active,hotspot(0),0.00032,66.4289,226.98999999999222,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}"
RL_routing+Active,hotspot(0),0.00044000000000000007,74.5792,226.98999999999185,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}"
RL_routing+Active,hotspot(0),0.0005600000000000001,93.1636,226.98999999999162,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}"
RL_routing+Active,hotspot(0),0.00068,155.385,226.99000000000166,"{0: 1.0, 1: 0.0, 2: 0.0}","{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}"
RL_routing+Active,hotspot(0),0.0008,,,,"{0: 0.0, 1: 0.0, 2: 0.0, 3: 1.0}"
dor+RL_power,uniform,0.001,47.876,152.62999999996077,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,uniform,0.0048000000000000004,54.365,152.62999999991018,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,uniform,0.0086,64.9477,152.6300000000552,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,uniform,0.012399999999999998,80.3953,152.62797023301252,"{0: 0.0, 1: 0.9999511370410546, 2: 4.8862958945341896e-05}",
dor+RL_power,uniform,0.0162,115.989,152.57527551921626,"{0: 0.0, 1: 0.9986826075870471, 2: 0.0013173924129529422}",
dor+RL_power,uniform,0.02,,,,
dor+RL_power,transpose,0.001,46.8019,152.62999999996265,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,transpose,0.0022,50.1018,152.62999999992195,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,transpose,0.0034000000000000002,53.2676,152.62999999991527,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,transpose,0.0046,59.5568,152.62999999990723,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,transpose,0.0058000000000000005,70.0376,152.62999999990475,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,transpose,0.007,115.272,152.63000000021538,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,bitcomp,0.001,58.6294,152.62999999993917,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,bitcomp,0.0029999999999999996,65.6693,152.62999999990944,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,bitcomp,0.004999999999999999,74.6053,152.6299999999028,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,bitcomp,0.006999999999999999,89.0937,152.62804100518898,"{0: 0.0, 1: 0.9999528407550196, 2: 4.715924498048786e-05}",
dor+RL_power,bitcomp,0.008999999999999998,115.813,152.60457635085834,"{0: 0.0, 1: 0.9993879718467049, 2: 0.0006120281532950516}",
dor+RL_power,bitcomp,0.011,236.175,152.24930721147723,"{0: 0.0, 1: 0.9908355130360283, 2: 0.009164486963971624}",
dor+RL_power,tornado,0.001,56.5896,152.62999999994204,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,tornado,0.0036000000000000003,62.6029,152.62999999990777,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,tornado,0.006200000000000001,73.4321,152.6300000000241,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,tornado,0.008800000000000002,89.4227,152.62483081547435,"{0: 0.0, 1: 0.9998755612705195, 2: 0.000124438729480572}",
dor+RL_power,tornado,0.0114,123.901,152.53910893310317,"{0: 0.0, 1: 0.9978119627587131, 2: 0.002188037241286923}",
dor+RL_power,tornado,0.014000000000000002,,,,
dor+RL_power,hotspot(0),0.0002,59.3314,152.6300000000039,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,hotspot(0),0.00032,66.1526,152.63000000000415,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,hotspot(0),0.00044000000000000007,73.0748,152.63000000000426,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,hotspot(0),0.0005600000000000001,88.5757,152.6299999999835,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,hotspot(0),0.00068,134.739,152.62999999995947,"{0: 0.0, 1: 1.0, 2: 0.0}",
dor+RL_power,hotspot(0),0.0008,,,,
o1turn+RL_power,uniform,0.001,48.2665,111.09000000000233,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,uniform,0.0048000000000000004,57.4713,111.08999999994242,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,uniform,0.0086,82.2011,111.08999999989632,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,uniform,0.012399999999999998,,,,
o1turn+RL_power,uniform,0.0162,,,,
o1turn+RL_power,uniform,0.02,,,,
o1turn+RL_power,transpose,0.001,46.4057,111.08999999999976,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,transpose,0.0022,48.5436,111.08999999999894,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,transpose,0.0034000000000000002,50.0014,111.08999999996956,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,transpose,0.0046,52.6871,111.08999999994077,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,transpose,0.0058000000000000005,55.4539,111.08999999992268,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,transpose,0.007,61.2909,111.08999999990769,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,bitcomp,0.001,60.165,111.09000000002688,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,bitcomp,0.0029999999999999996,71.2943,111.08999999993996,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,bitcomp,0.004999999999999999,110.213,111.08999999990786,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,bitcomp,0.006999999999999999,,,,
o1turn+RL_power,bitcomp,0.008999999999999998,,,,
o1turn+RL_power,bitcomp,0.011,,,,
o1turn+RL_power,tornado,0.001,57.6232,111.09000000002357,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,tornado,0.0036000000000000003,69.1206,111.08999999993274,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,tornado,0.006200000000000001,207.208,111.08999999988208,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,tornado,0.008800000000000002,,,,
o1turn+RL_power,tornado,0.0114,,,,
o1turn+RL_power,tornado,0.014000000000000002,,,,
o1turn+RL_power,hotspot(0),0.0002,59.1799,111.09000000000485,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,hotspot(0),0.00032,66.5709,111.0900000000096,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,hotspot(0),0.00044000000000000007,74.6274,111.09000000000087,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,hotspot(0),0.0005600000000000001,95.5388,111.08999999999222,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,hotspot(0),0.00068,211.723,111.08999999999904,"{0: 0.0, 1: 0.0, 2: 1.0}",
o1turn+RL_power,hotspot(0),0.0008,,,,
